Model,T_max,Uncensored Reduction,5Fold - c-index,5Fold - iBrier,5Fold - AUROC,5Fold - LogRank,Hold-out - c-index,Hold-out - iBrier,Hold-out - AUROC,Hold-out - LogRank
SurvivalTree ,0.25,0.75,0.8084 ± 0.0260,0.0873 ± 0.0064,0.8245 ± 0.0291,0.0159 ± 0.0179,0.7785,0.1012,0.7952,0.0001
SurvivalTree ,0.25,0.5,0.8079 ± 0.0256,0.0931 ± 0.0066,0.8023 ± 0.0308,0.0013 ± 0.0020,0.7650,0.1030,0.8132,0.0001
SurvivalTree ,0.25,0.25,0.7905 ± 0.0298,0.1000 ± 0.0125,0.8559 ± 0.0460,0.0000 ± 0.0000,0.7034,0.1270,0.7397,0.0000
RandomSurvivalForest $_{LogRank}$,1.0,1.0,0.7926 ± 0.0084,0.1244 ± 0.0060,0.8518 ± 0.0177,0.4628 ± 0.2160,0.7675,0.1339,0.8285,0.0593
RandomSurvivalForest $_{LogRank}$,1.0,0.75,0.7776 ± 0.0118,0.1579 ± 0.0082,0.8460 ± 0.0174,0.6745 ± 0.1345,0.7571,0.1695,0.8260,0.2952
RandomSurvivalForest $_{LogRank}$,1.0,0.5,0.6920 ± 0.0681,0.2092 ± 0.0141,0.8418 ± 0.0172,0.3851 ± 0.2788,0.7455,0.2340,0.8239,0.5266
RandomSurvivalForest $_{LogRank}$,1.0,0.25,0.6840 ± 0.0867,0.2893 ± 0.0626,0.8563 ± 0.0219,0.0660 ± 0.0965,0.7037,0.4259,0.8073,0.3258
RandomSurvivalForest $_{LogRank}$,0.75,1.0,0.7893 ± 0.0088,0.1261 ± 0.0043,0.8516 ± 0.0174,0.5798 ± 0.1482,0.7668,0.1391,0.8290,0.3169
RandomSurvivalForest $_{LogRank}$,0.75,0.75,0.7790 ± 0.0095,0.1511 ± 0.0069,0.8505 ± 0.0153,0.4854 ± 0.1571,0.7544,0.1689,0.8258,0.0171
RandomSurvivalForest $_{LogRank}$,0.75,0.5,0.7646 ± 0.0094,0.1944 ± 0.0115,0.8393 ± 0.0171,0.1282 ± 0.1451,0.7430,0.2043,0.8271,0.0000
RandomSurvivalForest $_{LogRank}$,0.75,0.25,0.7297 ± 0.0169,0.2445 ± 0.0395,0.8567 ± 0.0248,0.0002 ± 0.0002,0.7045,0.2851,0.8097,0.0000
RandomSurvivalForest $_{LogRank}$,0.5,1.0,0.7972 ± 0.0142,0.1164 ± 0.0066,0.8511 ± 0.0192,0.0416 ± 0.0342,0.7684,0.1297,0.8272,0.0000
RandomSurvivalForest $_{LogRank}$,0.5,0.75,0.7889 ± 0.0161,0.1293 ± 0.0074,0.8488 ± 0.0173,0.0252 ± 0.0243,0.7597,0.1444,0.8260,0.0000
RandomSurvivalForest $_{LogRank}$,0.5,0.5,0.7786 ± 0.0173,0.1532 ± 0.0086,0.8302 ± 0.0193,0.0039 ± 0.0044,0.7455,0.1734,0.8210,0.0000
RandomSurvivalForest $_{LogRank}$,0.5,0.25,0.7571 ± 0.0277,0.1889 ± 0.0088,0.8602 ± 0.0299,0.0000 ± 0.0001,0.7168,0.2310,0.8067,0.0000
RandomSurvivalForest $_{LogRank}$,0.25,1.0,0.8399 ± 0.0218,0.0778 ± 0.0074,0.8521 ± 0.0220,0.0118 ± 0.0114,0.7960,0.0892,0.8202,0.0000
RandomSurvivalForest $_{LogRank}$,0.25,0.75,0.8345 ± 0.0257,0.0815 ± 0.0052,0.8395 ± 0.0282,0.0014 ± 0.0018,0.7959,0.0950,0.8292,0.0003
RandomSurvivalForest $_{LogRank}$,0.25,0.5,0.8238 ± 0.0213,0.0899 ± 0.0050,0.8368 ± 0.0238,0.0001 ± 0.0002,0.7890,0.1018,0.8314,0.0000
RandomSurvivalForest $_{LogRank}$,0.25,0.25,0.8116 ± 0.0261,0.0963 ± 0.0104,0.8597 ± 0.0354,0.0000 ± 0.0000,0.7616,0.1219,0.8222,0.0000
RandomSurvivalForest ,1.0,1.0,0.7935 ± 0.0098,0.1235 ± 0.0070,0.8588 ± 0.0178,0.4742 ± 0.2228,0.7667,0.1332,0.8351,0.0682
RandomSurvivalForest ,1.0,0.75,0.7631 ± 0.0337,0.1541 ± 0.0082,0.8553 ± 0.0191,0.7659 ± 0.2030,0.7548,0.1681,0.8356,0.2120
RandomSurvivalForest ,1.0,0.5,0.7427 ± 0.0486,0.2010 ± 0.0128,0.8495 ± 0.0201,0.3939 ± 0.2857,0.7412,0.2325,0.8340,0.9285
RandomSurvivalForest ,1.0,0.25,0.7216 ± 0.0396,0.2864 ± 0.0610,0.8591 ± 0.0235,0.1123 ± 0.1570,0.7175,0.4144,0.8273,0.2092
RandomSurvivalForest ,0.75,1.0,0.7938 ± 0.0101,0.1259 ± 0.0045,0.8583 ± 0.0181,0.5047 ± 0.1021,0.7648,0.1402,0.8349,0.2675
RandomSurvivalForest ,0.75,0.75,0.7851 ± 0.0109,0.1487 ± 0.0054,0.8558 ± 0.0187,0.4711 ± 0.2320,0.7550,0.1675,0.8343,0.0355
RandomSurvivalForest ,0.75,0.5,0.7704 ± 0.0108,0.1890 ± 0.0078,0.8494 ± 0.0204,0.1555 ± 0.1579,0.7414,0.2038,0.8360,0.0000
RandomSurvivalForest ,0.75,0.25,0.7276 ± 0.0115,0.2438 ± 0.0367,0.8561 ± 0.0241,0.0002 ± 0.0002,0.7186,0.2779,0.8310,0.0000
RandomSurvivalForest ,0.5,1.0,0.7989 ± 0.0160,0.1187 ± 0.0059,0.8571 ± 0.0214,0.0327 ± 0.0340,0.7637,0.1298,0.8338,0.0000
RandomSurvivalForest ,0.5,0.75,0.7938 ± 0.0172,0.1299 ± 0.0067,0.8535 ± 0.0215,0.0144 ± 0.0152,0.7577,0.1443,0.8358,0.0000
RandomSurvivalForest ,0.5,0.5,0.7832 ± 0.0187,0.1527 ± 0.0078,0.8446 ± 0.0216,0.0015 ± 0.0013,0.7450,0.1733,0.8351,0.0000
RandomSurvivalForest ,0.5,0.25,0.7629 ± 0.0266,0.1926 ± 0.0103,0.8595 ± 0.0285,0.0000 ± 0.0000,0.7296,0.2313,0.8314,0.0000
RandomSurvivalForest ,0.25,1.0,0.8328 ± 0.0244,0.0808 ± 0.0085,0.8567 ± 0.0259,0.0145 ± 0.0143,0.8023,0.0880,0.8378,0.0000
RandomSurvivalForest ,0.25,0.75,0.8309 ± 0.0268,0.0841 ± 0.0058,0.8479 ± 0.0265,0.0024 ± 0.0030,0.7999,0.0937,0.8389,0.0001
RandomSurvivalForest ,0.25,0.5,0.8264 ± 0.0282,0.0921 ± 0.0082,0.8394 ± 0.0262,0.0000 ± 0.0000,0.7951,0.1020,0.8451,0.0000
RandomSurvivalForest ,0.25,0.25,0.8129 ± 0.0322,0.1015 ± 0.0132,0.8457 ± 0.0260,0.0000 ± 0.0000,0.7813,0.1230,0.8498,0.0000
GradientBoosting $_{LogRank}$,1.0,1.0,0.7760 ± 0.0165,0.1949 ± 0.0084,0.8445 ± 0.0150,0.6211 ± 0.3146,0.7398,0.1853,0.7958,0.3842
GradientBoosting $_{LogRank}$,1.0,0.75,0.7553 ± 0.0373,0.2441 ± 0.0084,0.8406 ± 0.0145,0.5747 ± 0.2569,0.7352,0.2355,0.7957,0.5194
GradientBoosting $_{LogRank}$,1.0,0.5,0.7442 ± 0.0559,0.3312 ± 0.0149,0.7932 ± 0.0135,0.0647 ± 0.0821,0.7228,0.3390,0.7960,0.0007
