No protocol specified
[32m[I 2022-04-13 11:43:56,700][0m A new study created in memory with name: no-name-5c911470-f42c-4c1b-99d7-65d995f09833[0m
[32m[I 2022-04-13 11:46:16,764][0m Trial 26 finished with value: 0.861397601242383 and parameters: {'n_estimators': 131, 'min_samples_split': 0.2006530538547789, 'min_samples_leaf': 0.02937219765467594, 'min_weight_fraction_leaf': 0.004069588108502168, 'max_features': 0.7888858371267339, 'bootstrap': False, 'max_samples': 0.1949664951452254}. Best is trial 25 with value: 0.8711387946068111.[0m
[32m[I 2022-04-13 11:46:20,623][0m Trial 27 finished with value: 0.8699971193688014 and parameters: {'n_estimators': 103, 'min_samples_split': 0.14521924802173594, 'min_samples_leaf': 0.03222765471044926, 'min_weight_fraction_leaf': 0.003585973157689616, 'max_features': 0.5899963180783185, 'bootstrap': False, 'max_samples': 0.28930504483557107}. Best is trial 25 with value: 0.8711387946068111.[0m
[32m[I 2022-04-13 11:46:23,888][0m Trial 28 finished with value: 0.86722716672669 and parameters: {'n_estimators': 104, 'min_samples_split': 0.1389388706988511, 'min_samples_leaf': 0.1530077809189693, 'min_weight_fraction_leaf': 0.004006137965591251, 'max_features': 0.7569597724523431, 'bootstrap': False, 'max_samples': 0.039860565708410345}. Best is trial 25 with value: 0.8711387946068111.[0m
[32m[I 2022-04-13 11:46:26,916][0m Trial 29 finished with value: 0.65 and parameters: {'n_estimators': 101, 'min_samples_split': 0.23910687847722556, 'min_samples_leaf': 0.04054078896416033, 'min_weight_fraction_leaf': 0.15737906817463104, 'max_features': 0.9826548811968717, 'bootstrap': True, 'max_samples': 0.2433175105224581, 'oob_score': True}. Best is trial 25 with value: 0.8711387946068111.[0m
[32m[I 2022-04-13 11:46:30,179][0m Trial 30 finished with value: 0.7126933834326028 and parameters: {'n_estimators': 178, 'min_samples_split': 0.22294971165737518, 'min_samples_leaf': 0.1716652740981997, 'min_weight_fraction_leaf': 0.49543351129016877, 'max_features': 0.5785162835259609, 'bootstrap': False, 'max_samples': 0.3728944440689014}. Best is trial 25 with value: 0.8711387946068111.[0m
[32m[I 2022-04-13 11:46:35,108][0m Trial 31 finished with value: 0.874261987257867 and parameters: {'n_estimators': 131, 'min_samples_split': 0.18040484528505618, 'min_samples_leaf': 0.004859365540788432, 'min_weight_fraction_leaf': 0.03690283309380129, 'max_features': 0.5598995979457952, 'bootstrap': False, 'max_samples': 0.28929443171628844}. Best is trial 31 with value: 0.874261987257867.[0m
[32m[I 2022-04-13 11:46:39,647][0m Trial 32 finished with value: 0.8719949388824263 and parameters: {'n_estimators': 120, 'min_samples_split': 0.2017721921930628, 'min_samples_leaf': 0.0030583749658243753, 'min_weight_fraction_leaf': 0.042353515156483515, 'max_features': 0.5817828935566054, 'bootstrap': False, 'max_samples': 0.3005476618581865}. Best is trial 31 with value: 0.874261987257867.[0m
[32m[I 2022-04-13 11:46:42,977][0m Trial 33 finished with value: 0.8691720247088931 and parameters: {'n_estimators': 120, 'min_samples_split': 0.2985439606559066, 'min_samples_leaf': 0.054160707151355826, 'min_weight_fraction_leaf': 0.03310318806450549, 'max_features': 0.5659182327261821, 'bootstrap': False, 'max_samples': 0.21163553635019983}. Best is trial 31 with value: 0.874261987257867.[0m
[32m[I 2022-04-13 11:46:46,892][0m Trial 34 finished with value: 0.868520913931761 and parameters: {'n_estimators': 117, 'min_samples_split': 0.19158106505504363, 'min_samples_leaf': 0.09710379294188226, 'min_weight_fraction_leaf': 0.00040156352370526033, 'max_features': 0.6500227441128493, 'bootstrap': False, 'max_samples': 0.30947459039672254}. Best is trial 31 with value: 0.874261987257867.[0m
[32m[I 2022-04-13 11:46:50,580][0m Trial 35 finished with value: 0.65 and parameters: {'n_estimators': 129, 'min_samples_split': 0.3626193472566738, 'min_samples_leaf': 0.03126381211460624, 'min_weight_fraction_leaf': 0.031718863652803034, 'max_features': 0.7449732105773135, 'bootstrap': True, 'max_samples': 0.1057215430103603, 'oob_score': True}. Best is trial 31 with value: 0.874261987257867.[0m
[32m[I 2022-04-13 11:46:57,968][0m Trial 36 finished with value: 0.8601233013197908 and parameters: {'n_estimators': 240, 'min_samples_split': 0.22092896821167135, 'min_samples_leaf': 0.0016328465955317284, 'min_weight_fraction_leaf': 0.10382110808538324, 'max_features': 0.8341762232023766, 'bootstrap': False, 'max_samples': 0.4085452624960737}. Best is trial 31 with value: 0.874261987257867.[0m
[32m[I 2022-04-13 11:47:01,945][0m Trial 37 finished with value: 0.862970383460195 and parameters: {'n_estimators': 175, 'min_samples_split': 0.49068769244318233, 'min_samples_leaf': 0.07511086991191146, 'min_weight_fraction_leaf': 0.04968648235897108, 'max_features': 0.5026730782757372, 'bootstrap': False, 'max_samples': 0.17027147638116336}. Best is trial 31 with value: 0.874261987257867.[0m
[32m[I 2022-04-13 11:47:09,363][0m Trial 38 finished with value: 0.863123167561557 and parameters: {'n_estimators': 393, 'min_samples_split': 0.1791612885684924, 'min_samples_leaf': 0.050620054222766886, 'min_weight_fraction_leaf': 0.14357564901666056, 'max_features': 0.5777359010750298, 'bootstrap': False, 'max_samples': 0.07322992751633547}. Best is trial 31 with value: 0.874261987257867.[0m
[32m[I 2022-04-13 11:47:12,633][0m Trial 39 finished with value: 0.65 and parameters: {'n_estimators': 113, 'min_samples_split': 0.28122765385716997, 'min_samples_leaf': 0.45807229231532437, 'min_weight_fraction_leaf': 0.24322134727894223, 'max_features': 0.7161582297622899, 'bootstrap': True, 'max_samples': 0.3123110149137488, 'oob_score': True}. Best is trial 31 with value: 0.874261987257867.[0m
[32m[I 2022-04-13 11:47:16,058][0m Trial 40 finished with value: 0.6968328232748361 and parameters: {'n_estimators': 142, 'min_samples_split': 0.14084795458190794, 'min_samples_leaf': 0.11355216911277055, 'min_weight_fraction_leaf': 0.436531662987679, 'max_features': 0.6221791768403178, 'bootstrap': False, 'max_samples': 0.22771463340135384}. Best is trial 31 with value: 0.874261987257867.[0m
[32m[I 2022-04-13 11:47:21,444][0m Trial 41 finished with value: 0.8706990834265556 and parameters: {'n_estimators': 157, 'min_samples_split': 0.12146938196998411, 'min_samples_leaf': 0.0027605350864618357, 'min_weight_fraction_leaf': 0.06161177823904103, 'max_features': 0.4752875832548597, 'bootstrap': False, 'max_samples': 0.4086871865691112}. Best is trial 31 with value: 0.874261987257867.[0m
[32m[I 2022-04-13 11:47:25,731][0m Trial 42 finished with value: 0.8691713526487332 and parameters: {'n_estimators': 124, 'min_samples_split': 0.11589246732299777, 'min_samples_leaf': 0.02537770551722108, 'min_weight_fraction_leaf': 0.02466250338291874, 'max_features': 0.4762447324397969, 'bootstrap': False, 'max_samples': 0.3802856861885346}. Best is trial 31 with value: 0.874261987257867.[0m
[32m[I 2022-04-13 11:47:30,851][0m Trial 43 finished with value: 0.8696614337207708 and parameters: {'n_estimators': 174, 'min_samples_split': 0.16737340306611606, 'min_samples_leaf': 0.05898110148062698, 'min_weight_fraction_leaf': 0.05765431271866123, 'max_features': 0.533419794752701, 'bootstrap': False, 'max_samples': 0.31422657893877176}. Best is trial 31 with value: 0.874261987257867.[0m
[32m[I 2022-04-13 11:47:35,222][0m Trial 44 finished with value: 0.8637544293223289 and parameters: {'n_estimators': 103, 'min_samples_split': 0.0933661659044877, 'min_samples_leaf': 0.01614123809999779, 'min_weight_fraction_leaf': 0.02572077403921645, 'max_features': 0.4754646037479361, 'bootstrap': False, 'max_samples': 0.25577508346506805}. Best is trial 31 with value: 0.874261987257867.[0m
[32m[I 2022-04-13 11:47:40,870][0m Trial 45 finished with value: 0.854699566523801 and parameters: {'n_estimators': 203, 'min_samples_split': 0.20585167022994288, 'min_samples_leaf': 0.07619245384781159, 'min_weight_fraction_leaf': 0.09513205234034708, 'max_features': 0.5416488589440608, 'bootstrap': True, 'max_samples': 0.4055444024424043, 'oob_score': True}. Best is trial 31 with value: 0.874261987257867.[0m
[32m[I 2022-04-13 11:47:45,028][0m Trial 46 finished with value: 0.8719836873692562 and parameters: {'n_estimators': 147, 'min_samples_split': 0.24792518866642146, 'min_samples_leaf': 0.03647382374196175, 'min_weight_fraction_leaf': 0.04979531705633546, 'max_features': 0.6153739788594794, 'bootstrap': False, 'max_samples': 0.15038152765928084}. Best is trial 31 with value: 0.874261987257867.[0m
[32m[I 2022-04-13 11:47:48,713][0m Trial 47 finished with value: 0.7925602174694297 and parameters: {'n_estimators': 228, 'min_samples_split': 0.2415443729031333, 'min_samples_leaf': 0.370422322384938, 'min_weight_fraction_leaf': 0.129753581122221, 'max_features': 0.6805805569480841, 'bootstrap': False, 'max_samples': 0.10714944872130192}. Best is trial 31 with value: 0.874261987257867.[0m
[32m[I 2022-04-13 11:47:51,723][0m Trial 48 finished with value: 0.8379540884648613 and parameters: {'n_estimators': 151, 'min_samples_split': 0.3353758720146809, 'min_samples_leaf': 0.10175494342743238, 'min_weight_fraction_leaf': 0.2767633949452537, 'max_features': 0.627533185158561, 'bootstrap': False, 'max_samples': 0.011610485391508607}. Best is trial 31 with value: 0.874261987257867.[0m
[32m[I 2022-04-13 11:47:55,605][0m Trial 49 finished with value: 0.8631659468316191 and parameters: {'n_estimators': 183, 'min_samples_split': 0.2697568260429794, 'min_samples_leaf': 0.14174005396086398, 'min_weight_fraction_leaf': 0.08185599611768335, 'max_features': 0.49302530752406565, 'bootstrap': False, 'max_samples': 0.15441209273447432}. Best is trial 31 with value: 0.874261987257867.[0m
[32m[I 2022-04-13 11:48:00,809][0m Trial 50 finished with value: 0.8689137110179104 and parameters: {'n_estimators': 259, 'min_samples_split': 0.09235807270103333, 'min_samples_leaf': 0.050492857985162384, 'min_weight_fraction_leaf': 0.05634169346330345, 'max_features': 0.3719833318755545, 'bootstrap': True, 'max_samples': 0.33021708010376544, 'oob_score': False}. Best is trial 31 with value: 0.874261987257867.[0m
[32m[I 2022-04-13 11:48:05,322][0m Trial 51 finished with value: 0.8659307931202163 and parameters: {'n_estimators': 113, 'min_samples_split': 0.12730381792129575, 'min_samples_leaf': 0.022710588940650003, 'min_weight_fraction_leaf': 0.020469289159982248, 'max_features': 0.5955867001755794, 'bootstrap': False, 'max_samples': 0.19643000999041416}. Best is trial 31 with value: 0.874261987257867.[0m
[32m[I 2022-04-13 11:48:08,441][0m Trial 52 finished with value: 0.8139235448316923 and parameters: {'n_estimators': 141, 'min_samples_split': 0.17275954469010263, 'min_samples_leaf': 0.03961428402038852, 'min_weight_fraction_leaf': 0.32701051792565655, 'max_features': 0.5437711009566641, 'bootstrap': False, 'max_samples': 0.2552788365215857}. Best is trial 31 with value: 0.874261987257867.[0m
[32m[I 2022-04-13 11:48:12,850][0m Trial 53 finished with value: 0.871023702619048 and parameters: {'n_estimators': 126, 'min_samples_split': 0.20971847459548118, 'min_samples_leaf': 0.001895512936579789, 'min_weight_fraction_leaf': 0.04488021153373117, 'max_features': 0.7192972416563703, 'bootstrap': False, 'max_samples': 0.3593668781248509}. Best is trial 31 with value: 0.874261987257867.[0m
[32m[I 2022-04-13 11:48:17,156][0m Trial 54 finished with value: 0.8686508277744538 and parameters: {'n_estimators': 126, 'min_samples_split': 0.20955730447401888, 'min_samples_leaf': 0.0693173831027182, 'min_weight_fraction_leaf': 0.10158155158109028, 'max_features': 0.6680350322271776, 'bootstrap': False, 'max_samples': 0.34550963352657943}. Best is trial 31 with value: 0.874261987257867.[0m
[32m[I 2022-04-13 11:48:22,731][0m Trial 55 finished with value: 0.8612924344185616 and parameters: {'n_estimators': 162, 'min_samples_split': 0.2320120307207929, 'min_samples_leaf': 0.0013492613053857961, 'min_weight_fraction_leaf': 0.05062275486746892, 'max_features': 0.791774763208338, 'bootstrap': False, 'max_samples': 0.4382009834767682}. Best is trial 31 with value: 0.874261987257867.[0m
[32m[I 2022-04-13 11:48:27,552][0m Trial 56 finished with value: 0.8634884355445196 and parameters: {'n_estimators': 144, 'min_samples_split': 0.18715644947020432, 'min_samples_leaf': 0.015728305549382714, 'min_weight_fraction_leaf': 0.08364439857472343, 'max_features': 0.7068996676455837, 'bootstrap': False, 'max_samples': 0.37969735280554384}. Best is trial 31 with value: 0.874261987257867.[0m
