Model,T_max,Uncensored Reduction,5Fold - c-index,5Fold - iBrier,5Fold - AUROC,5Fold - LogRank,Hold-out - c-index,Hold-out - iBrier,Hold-out - AUROC,Hold-out - LogRank
SurvivalTree $_{LogRank}$,0.25,0.75,0.6796 ± 0.0277,0.2138 ± 0.0130,0.6740 ± 0.0707,0.3613 ± 0.2987,0.6755,0.2249,0.7244,0.2282
SurvivalTree $_{LogRank}$,0.25,0.5,0.6497 ± 0.0482,0.2531 ± 0.0289,0.6522 ± 0.0915,0.0630 ± 0.0500,0.6569,0.3006,0.6976,0.0001
SurvivalTree $_{LogRank}$,0.25,0.25,0.6349 ± 0.0596,0.2447 ± 0.0421,0.6581 ± 0.0893,0.0071 ± 0.0080,0.5631,0.2156,0.6956,0.0000
SurvivalTree ,1.0,1.0,0.6773 ± 0.0233,0.1559 ± 0.0239,0.7240 ± 0.0586,0.6420 ± 0.2613,0.6463,0.1749,0.7028,0.7798
SurvivalTree ,1.0,0.75,0.6503 ± 0.0264,0.2393 ± 0.0340,0.6852 ± 0.0630,0.4900 ± 0.2697,0.5954,0.2686,0.6913,0.3972
SurvivalTree ,1.0,0.5,0.6193 ± 0.0501,0.3021 ± 0.0435,0.6314 ± 0.0767,0.0335 ± 0.0281,0.5259,0.4155,0.6777,0.0002
SurvivalTree ,1.0,0.25,0.5951 ± 0.0586,0.2872 ± 0.0369,0.5455 ± 0.1244,0.0163 ± 0.0189,0.5474,0.5021,0.7215,0.0000
SurvivalTree ,0.75,1.0,0.6773 ± 0.0233,0.1559 ± 0.0239,0.7240 ± 0.0586,0.6420 ± 0.2613,0.6463,0.1749,0.7028,0.7798
SurvivalTree ,0.75,0.75,0.6503 ± 0.0264,0.2393 ± 0.0340,0.6852 ± 0.0630,0.4900 ± 0.2697,0.5954,0.2686,0.6913,0.3972
SurvivalTree ,0.75,0.5,0.6193 ± 0.0501,0.3021 ± 0.0435,0.6314 ± 0.0767,0.0335 ± 0.0281,0.5259,0.4155,0.6777,0.0002
SurvivalTree ,0.75,0.25,0.5951 ± 0.0586,0.2872 ± 0.0369,0.5455 ± 0.1244,0.0163 ± 0.0189,0.5474,0.5021,0.7215,0.0000
SurvivalTree ,0.5,1.0,0.6819 ± 0.0213,0.1642 ± 0.0200,0.7231 ± 0.0591,0.6202 ± 0.2106,0.6571,0.1869,0.7015,0.7410
SurvivalTree ,0.5,0.75,0.6639 ± 0.0297,0.2384 ± 0.0316,0.6820 ± 0.0593,0.4909 ± 0.2943,0.6089,0.2650,0.6899,0.2233
SurvivalTree ,0.5,0.5,0.6411 ± 0.0626,0.3015 ± 0.0423,0.6313 ± 0.0767,0.0427 ± 0.0412,0.5960,0.4166,0.6757,0.0010
SurvivalTree ,0.5,0.25,0.5936 ± 0.0427,0.2875 ± 0.0368,0.5464 ± 0.1250,0.0126 ± 0.0183,0.5446,0.5021,0.7215,0.0000
SurvivalTree ,0.25,1.0,0.6797 ± 0.0235,0.1809 ± 0.0180,0.7119 ± 0.0568,0.6419 ± 0.2320,0.6537,0.1998,0.7027,0.8202
SurvivalTree ,0.25,0.75,0.6572 ± 0.0229,0.2318 ± 0.0226,0.6721 ± 0.0674,0.3548 ± 0.2314,0.6133,0.2528,0.6888,0.2024
SurvivalTree ,0.25,0.5,0.6345 ± 0.0169,0.2745 ± 0.0255,0.6413 ± 0.0872,0.0775 ± 0.0899,0.6145,0.3327,0.6765,0.0002
SurvivalTree ,0.25,0.25,0.6032 ± 0.0340,0.2715 ± 0.0362,0.5488 ± 0.1118,0.0099 ± 0.0119,0.5606,0.2367,0.7239,0.0000
RandomSurvivalForest $_{LogRank}$,1.0,1.0,0.6918 ± 0.0159,0.1597 ± 0.0246,0.7513 ± 0.0558,0.7169 ± 0.2600,0.6975,0.1741,0.7658,0.6111
RandomSurvivalForest $_{LogRank}$,1.0,0.75,0.6690 ± 0.0245,0.2247 ± 0.0179,0.7276 ± 0.0714,0.3973 ± 0.2206,0.6890,0.2528,0.7603,0.9078
RandomSurvivalForest $_{LogRank}$,1.0,0.5,0.6337 ± 0.0257,0.2772 ± 0.0418,0.7028 ± 0.0934,0.0350 ± 0.0406,0.6010,0.3516,0.7654,0.0536
RandomSurvivalForest $_{LogRank}$,1.0,0.25,0.6164 ± 0.0531,0.2557 ± 0.0545,0.6590 ± 0.1205,0.0005 ± 0.0006,0.5150,0.4526,0.7331,0.0000
RandomSurvivalForest $_{LogRank}$,0.75,1.0,0.6918 ± 0.0159,0.1597 ± 0.0246,0.7513 ± 0.0558,0.7169 ± 0.2600,0.6975,0.1741,0.7658,0.6111
RandomSurvivalForest $_{LogRank}$,0.75,0.75,0.6690 ± 0.0245,0.2247 ± 0.0179,0.7276 ± 0.0714,0.3973 ± 0.2206,0.6890,0.2528,0.7603,0.9078
RandomSurvivalForest $_{LogRank}$,0.75,0.5,0.6337 ± 0.0257,0.2772 ± 0.0418,0.7028 ± 0.0934,0.0350 ± 0.0406,0.6010,0.3516,0.7654,0.0536
RandomSurvivalForest $_{LogRank}$,0.75,0.25,0.6164 ± 0.0531,0.2557 ± 0.0545,0.6590 ± 0.1205,0.0005 ± 0.0006,0.5150,0.4526,0.7331,0.0000
RandomSurvivalForest $_{LogRank}$,0.5,1.0,0.6981 ± 0.0161,0.1676 ± 0.0215,0.7508 ± 0.0568,0.6870 ± 0.2676,0.7009,0.1786,0.7652,0.7119
RandomSurvivalForest $_{LogRank}$,0.5,0.75,0.6826 ± 0.0347,0.2249 ± 0.0166,0.7275 ± 0.0700,0.4147 ± 0.2342,0.6975,0.2429,0.7584,0.3421
RandomSurvivalForest $_{LogRank}$,0.5,0.5,0.6554 ± 0.0353,0.2766 ± 0.0404,0.7032 ± 0.0935,0.0451 ± 0.0582,0.6721,0.3538,0.7588,0.1238
RandomSurvivalForest $_{LogRank}$,0.5,0.25,0.6108 ± 0.0434,0.2562 ± 0.0544,0.6579 ± 0.1202,0.0004 ± 0.0005,0.5677,0.4526,0.7331,0.0001
RandomSurvivalForest $_{LogRank}$,0.25,1.0,0.6982 ± 0.0196,0.1796 ± 0.0092,0.7413 ± 0.0635,0.5996 ± 0.3071,0.6937,0.1859,0.7636,0.3274
RandomSurvivalForest $_{LogRank}$,0.25,0.75,0.6877 ± 0.0213,0.2196 ± 0.0093,0.7188 ± 0.0739,0.2991 ± 0.2839,0.6839,0.2316,0.7601,0.0414
RandomSurvivalForest $_{LogRank}$,0.25,0.5,0.6689 ± 0.0335,0.2552 ± 0.0290,0.6932 ± 0.0963,0.0316 ± 0.0284,0.6629,0.3026,0.7432,0.0007
RandomSurvivalForest $_{LogRank}$,0.25,0.25,0.6296 ± 0.0523,0.2435 ± 0.0514,0.6592 ± 0.1160,0.0016 ± 0.0025,0.5293,0.2217,0.7410,0.0000
RandomSurvivalForest ,1.0,1.0,0.6962 ± 0.0153,0.1591 ± 0.0247,0.7527 ± 0.0519,0.7339 ± 0.2647,0.7043,0.1722,0.7730,0.6514
RandomSurvivalForest ,1.0,0.75,0.6705 ± 0.0279,0.2241 ± 0.0159,0.7299 ± 0.0635,0.3787 ± 0.2400,0.7014,0.2496,0.7713,0.9707
RandomSurvivalForest ,1.0,0.5,0.6390 ± 0.0214,0.2790 ± 0.0427,0.7012 ± 0.0896,0.0336 ± 0.0413,0.6178,0.3501,0.7774,0.0286
RandomSurvivalForest ,1.0,0.25,0.5994 ± 0.0136,0.2578 ± 0.0555,0.6607 ± 0.1145,0.0004 ± 0.0004,0.5587,0.4523,0.7768,0.0000
RandomSurvivalForest ,0.75,1.0,0.6962 ± 0.0153,0.1591 ± 0.0247,0.7527 ± 0.0519,0.7339 ± 0.2647,0.7043,0.1722,0.7730,0.6514
RandomSurvivalForest ,0.75,0.75,0.6705 ± 0.0279,0.2241 ± 0.0159,0.7299 ± 0.0635,0.3787 ± 0.2400,0.7014,0.2496,0.7713,0.9707
RandomSurvivalForest ,0.75,0.5,0.6390 ± 0.0214,0.2790 ± 0.0427,0.7012 ± 0.0896,0.0336 ± 0.0413,0.6178,0.3501,0.7774,0.0286
RandomSurvivalForest ,0.75,0.25,0.5994 ± 0.0136,0.2578 ± 0.0555,0.6607 ± 0.1145,0.0004 ± 0.0004,0.5587,0.4523,0.7768,0.0000
RandomSurvivalForest ,0.5,1.0,0.7026 ± 0.0147,0.1670 ± 0.0210,0.7522 ± 0.0523,0.6540 ± 0.2541,0.7041,0.1773,0.7721,0.8033
RandomSurvivalForest ,0.5,0.75,0.6854 ± 0.0372,0.2241 ± 0.0148,0.7289 ± 0.0639,0.4074 ± 0.2714,0.7003,0.2410,0.7695,0.2791
RandomSurvivalForest ,0.5,0.5,0.6614 ± 0.0502,0.2785 ± 0.0413,0.7011 ± 0.0896,0.0436 ± 0.0589,0.6727,0.3516,0.7748,0.0735
RandomSurvivalForest ,0.5,0.25,0.6240 ± 0.0428,0.2582 ± 0.0555,0.6596 ± 0.1142,0.0004 ± 0.0004,0.6024,0.4523,0.7768,0.0000
RandomSurvivalForest ,0.25,1.0,0.7044 ± 0.0165,0.1796 ± 0.0082,0.7446 ± 0.0558,0.6013 ± 0.3238,0.7001,0.1847,0.7732,0.3016
RandomSurvivalForest ,0.25,0.75,0.6856 ± 0.0202,0.2198 ± 0.0087,0.7196 ± 0.0672,0.3113 ± 0.3010,0.6827,0.2304,0.7703,0.0399
RandomSurvivalForest ,0.25,0.5,0.6805 ± 0.0251,0.2555 ± 0.0272,0.6978 ± 0.0882,0.0241 ± 0.0214,0.6628,0.3007,0.7674,0.0002
RandomSurvivalForest ,0.25,0.25,0.6406 ± 0.0384,0.2457 ± 0.0520,0.6597 ± 0.1162,0.0011 ± 0.0015,0.5762,0.2224,0.7665,0.0000
GradientBoosting $_{LogRank}$,1.0,1.0,0.6995 ± 0.0165,0.1936 ± 0.0532,0.8124 ± 0.0249,0.6654 ± 0.2670,0.7174,0.1988,0.7865,0.9617
GradientBoosting $_{LogRank}$,1.0,0.75,0.6768 ± 0.0272,0.2911 ± 0.0765,0.7939 ± 0.0307,0.3388 ± 0.2468,0.7064,0.2954,0.7735,0.3642
GradientBoosting $_{LogRank}$,1.0,0.5,0.6368 ± 0.0277,0.4597 ± 0.0696,0.7743 ± 0.0218,0.0234 ± 0.0313,0.6179,0.4510,0.7534,0.0107
GradientBoosting $_{LogRank}$,1.0,0.25,0.6059 ± 0.0484,0.8881 ± 0.0917,0.7215 ± 0.0324,0.0003 ± 0.0005,0.5078,0.8295,0.6281,0.0000
GradientBoosting $_{LogRank}$,0.75,1.0,0.6995 ± 0.0165,0.1936 ± 0.0532,0.8124 ± 0.0249,0.6654 ± 0.2670,0.7174,0.1988,0.7865,0.9617
GradientBoosting $_{LogRank}$,0.75,0.75,0.6768 ± 0.0272,0.2911 ± 0.0765,0.7939 ± 0.0307,0.3388 ± 0.2468,0.7064,0.2954,0.7735,0.3642
GradientBoosting $_{LogRank}$,0.75,0.5,0.6368 ± 0.0277,0.4597 ± 0.0696,0.7743 ± 0.0218,0.0234 ± 0.0313,0.6179,0.4510,0.7534,0.0107
GradientBoosting $_{LogRank}$,0.75,0.25,0.6059 ± 0.0484,0.8881 ± 0.0917,0.7215 ± 0.0324,0.0003 ± 0.0005,0.5078,0.8295,0.6281,0.0000
GradientBoosting $_{LogRank}$,0.5,1.0,0.7038 ± 0.0102,0.1951 ± 0.0526,0.8133 ± 0.0240,0.4882 ± 0.1341,0.7179,0.2010,0.7872,0.9322
GradientBoosting $_{LogRank}$,0.5,0.75,0.6932 ± 0.0322,0.2912 ± 0.0745,0.7946 ± 0.0300,0.3720 ± 0.2675,0.7060,0.2969,0.7741,0.2196
GradientBoosting $_{LogRank}$,0.5,0.5,0.6578 ± 0.0356,0.4545 ± 0.0639,0.7746 ± 0.0213,0.0324 ± 0.0469,0.6737,0.4373,0.7560,0.0512
GradientBoosting $_{LogRank}$,0.5,0.25,0.6152 ± 0.0600,0.8749 ± 0.0674,0.7214 ± 0.0323,0.0003 ± 0.0005,0.5576,0.7843,0.6289,0.0001
GradientBoosting $_{LogRank}$,0.25,1.0,0.7042 ± 0.0173,0.2219 ± 0.0647,0.8143 ± 0.0221,0.5435 ± 0.3347,0.7074,0.2308,0.7814,0.3704
GradientBoosting $_{LogRank}$,0.25,0.75,0.6936 ± 0.0244,0.2972 ± 0.0671,0.7853 ± 0.0207,0.3003 ± 0.2503,0.6936,0.3037,0.7753,0.0271
