Model,T_max,Uncensored Reduction,5Fold - c-index,5Fold - iBrier,5Fold - AUROC,5Fold - LogRank,Hold-out - c-index,Hold-out - iBrier,Hold-out - AUROC,Hold-out - LogRank
SurvivalTree ,0.75,0.75,0.6376 ± 0.0248,0.2499 ± 0.0260,0.6430 ± 0.0384,0.5571 ± 0.2006,0.6044,0.2402,0.6802,0.3390
SurvivalTree ,0.75,0.5,0.6247 ± 0.0338,0.3340 ± 0.0328,0.6526 ± 0.0276,0.0470 ± 0.0520,0.6465,0.3110,0.6771,0.0000
SurvivalTree ,0.75,0.25,0.5315 ± 0.0681,0.3567 ± 0.0647,0.5848 ± 0.0663,0.0001 ± 0.0002,0.5386,0.3123,0.5826,0.0000
SurvivalTree ,0.5,1.0,0.6564 ± 0.0397,0.1775 ± 0.0375,0.6970 ± 0.0497,0.4238 ± 0.2104,0.6579,0.1441,0.6892,0.1926
SurvivalTree ,0.5,0.75,0.6305 ± 0.0129,0.2645 ± 0.0336,0.6418 ± 0.0395,0.6230 ± 0.2400,0.6089,0.2441,0.6801,0.0847
SurvivalTree ,0.5,0.5,0.6224 ± 0.0252,0.3407 ± 0.0286,0.6638 ± 0.0364,0.2067 ± 0.3274,0.6589,0.3136,0.6749,0.0000
SurvivalTree ,0.5,0.25,0.5275 ± 0.0448,0.3709 ± 0.0520,0.5684 ± 0.0564,0.0002 ± 0.0003,0.5620,0.2879,0.5780,0.0000
SurvivalTree ,0.25,1.0,0.6415 ± 0.0309,0.2052 ± 0.0211,0.6819 ± 0.0396,0.4718 ± 0.2541,0.6359,0.1841,0.6769,0.5500
SurvivalTree ,0.25,0.75,0.6162 ± 0.0341,0.2663 ± 0.0247,0.6280 ± 0.0461,0.3658 ± 0.2605,0.6125,0.2524,0.6697,0.0086
SurvivalTree ,0.25,0.5,0.6287 ± 0.0219,0.3318 ± 0.0328,0.6378 ± 0.0583,0.1300 ± 0.1941,0.6284,0.3284,0.6345,0.0000
SurvivalTree ,0.25,0.25,0.5518 ± 0.0389,0.3526 ± 0.0372,0.5279 ± 0.0515,0.0008 ± 0.0009,0.6051,0.2943,0.5648,0.0000
RandomSurvivalForest _LogRank,1.0,1.0,0.6823 ± 0.0280,0.1422 ± 0.0254,0.7361 ± 0.0543,0.6179 ± 0.2107,0.6948,0.1293,0.7456,0.3303
RandomSurvivalForest _LogRank,1.0,0.75,0.6722 ± 0.0289,0.2206 ± 0.0369,0.7191 ± 0.0553,0.5590 ± 0.2866,0.6726,0.1979,0.7348,0.0506
RandomSurvivalForest _LogRank,1.0,0.5,0.6622 ± 0.0270,0.2928 ± 0.0297,0.7048 ± 0.0820,0.0159 ± 0.0202,0.6359,0.2473,0.7244,0.0000
RandomSurvivalForest _LogRank,1.0,0.25,0.6041 ± 0.0380,0.3003 ± 0.0439,0.6526 ± 0.0929,0.0000 ± 0.0000,0.6100,0.2503,0.6762,0.0000
RandomSurvivalForest _LogRank,0.75,1.0,0.6823 ± 0.0280,0.1422 ± 0.0254,0.7361 ± 0.0543,0.6179 ± 0.2107,0.6948,0.1293,0.7456,0.3303
RandomSurvivalForest _LogRank,0.75,0.75,0.6722 ± 0.0289,0.2206 ± 0.0369,0.7191 ± 0.0553,0.5590 ± 0.2866,0.6726,0.1979,0.7348,0.0506
RandomSurvivalForest _LogRank,0.75,0.5,0.6622 ± 0.0270,0.2928 ± 0.0297,0.7048 ± 0.0820,0.0159 ± 0.0202,0.6359,0.2473,0.7244,0.0000
RandomSurvivalForest _LogRank,0.75,0.25,0.6041 ± 0.0380,0.3003 ± 0.0439,0.6526 ± 0.0929,0.0000 ± 0.0000,0.6100,0.2503,0.6762,0.0000
RandomSurvivalForest _LogRank,0.5,1.0,0.6807 ± 0.0264,0.1596 ± 0.0251,0.7342 ± 0.0537,0.4897 ± 0.2239,0.6945,0.1420,0.7460,0.6362
RandomSurvivalForest _LogRank,0.5,0.75,0.6696 ± 0.0249,0.2218 ± 0.0321,0.7232 ± 0.0565,0.3860 ± 0.3175,0.6870,0.1961,0.7402,0.0056
RandomSurvivalForest _LogRank,0.5,0.5,0.6593 ± 0.0192,0.2949 ± 0.0300,0.7031 ± 0.0819,0.0200 ± 0.0249,0.6649,0.2476,0.7195,0.0000
RandomSurvivalForest _LogRank,0.5,0.25,0.5958 ± 0.0223,0.3028 ± 0.0418,0.6458 ± 0.0883,0.0000 ± 0.0000,0.6221,0.2495,0.6793,0.0000
RandomSurvivalForest _LogRank,0.25,1.0,0.6800 ± 0.0346,0.1740 ± 0.0213,0.7318 ± 0.0638,0.4875 ± 0.3736,0.6998,0.1604,0.7459,0.0786
RandomSurvivalForest _LogRank,0.25,0.75,0.6613 ± 0.0371,0.2188 ± 0.0264,0.7123 ± 0.0682,0.1943 ± 0.1690,0.6802,0.2066,0.7285,0.0002
RandomSurvivalForest _LogRank,0.25,0.5,0.6545 ± 0.0292,0.2989 ± 0.0306,0.6988 ± 0.0806,0.0166 ± 0.0263,0.6792,0.2586,0.7102,0.0000
RandomSurvivalForest _LogRank,0.25,0.25,0.5987 ± 0.0310,0.3001 ± 0.0522,0.6443 ± 0.0932,0.0000 ± 0.0000,0.6547,0.2565,0.6780,0.0000
RandomSurvivalForest ,1.0,1.0,0.6908 ± 0.0306,0.1432 ± 0.0272,0.7515 ± 0.0453,0.5659 ± 0.1810,0.7002,0.1213,0.7644,0.5404
RandomSurvivalForest ,1.0,0.75,0.6649 ± 0.0207,0.2178 ± 0.0410,0.7374 ± 0.0481,0.4590 ± 0.2754,0.6753,0.1879,0.7517,0.0239
RandomSurvivalForest ,1.0,0.5,0.6480 ± 0.0303,0.2914 ± 0.0240,0.7252 ± 0.0591,0.0066 ± 0.0071,0.6324,0.2490,0.7283,0.0000
RandomSurvivalForest ,1.0,0.25,0.6032 ± 0.0384,0.2889 ± 0.0436,0.6858 ± 0.0567,0.0000 ± 0.0000,0.5785,0.2602,0.6929,0.0000
RandomSurvivalForest ,0.75,1.0,0.6908 ± 0.0306,0.1432 ± 0.0272,0.7515 ± 0.0453,0.5659 ± 0.1810,0.7002,0.1213,0.7644,0.5404
RandomSurvivalForest ,0.75,0.75,0.6649 ± 0.0207,0.2178 ± 0.0410,0.7374 ± 0.0481,0.4590 ± 0.2754,0.6753,0.1879,0.7517,0.0239
RandomSurvivalForest ,0.75,0.5,0.6480 ± 0.0303,0.2914 ± 0.0240,0.7252 ± 0.0591,0.0066 ± 0.0071,0.6324,0.2490,0.7283,0.0000
RandomSurvivalForest ,0.75,0.25,0.6032 ± 0.0384,0.2889 ± 0.0436,0.6858 ± 0.0567,0.0000 ± 0.0000,0.5785,0.2602,0.6929,0.0000
RandomSurvivalForest ,0.5,1.0,0.6898 ± 0.0288,0.1611 ± 0.0279,0.7506 ± 0.0428,0.4916 ± 0.2249,0.7017,0.1349,0.7615,0.8285
RandomSurvivalForest ,0.5,0.75,0.6711 ± 0.0266,0.2210 ± 0.0365,0.7325 ± 0.0517,0.2683 ± 0.2308,0.6898,0.1896,0.7487,0.0018
