Model,T_max,Uncensored Reduction,5Fold - c-index,5Fold - iBrier,5Fold - AUROC,5Fold - LogRank,Hold-out - c-index,Hold-out - iBrier,Hold-out - AUROC,Hold-out - LogRank
SurvivalTree $_{LogRank}$,0.25,0.5,0.7986 ± 0.0139,0.1126 ± 0.0121,0.9548 ± 0.0024,0.0000 ± 0.0000,0.7876,0.1059,0.9534,0.0000
SurvivalTree $_{LogRank}$,0.25,0.25,0.7214 ± 0.0109,0.0747 ± 0.0085,0.9625 ± 0.0106,0.0229 ± 0.0399,0.7092,0.0784,0.9538,0.0000
SurvivalTree ,1.0,1.0,0.8118 ± 0.0044,0.1316 ± 0.0053,0.8818 ± 0.0061,0.8604 ± 0.0745,0.8174,0.1287,0.8867,0.9378
SurvivalTree ,1.0,0.75,0.7699 ± 0.0105,0.1902 ± 0.0070,0.9030 ± 0.0061,0.0004 ± 0.0005,0.7688,0.1782,0.9014,0.0000
SurvivalTree ,1.0,0.5,0.7202 ± 0.0157,0.1778 ± 0.0103,0.9399 ± 0.0026,0.0000 ± 0.0000,0.7355,0.1954,0.9385,0.0000
SurvivalTree ,1.0,0.25,0.6498 ± 0.0199,0.0679 ± 0.0037,0.9529 ± 0.0040,0.1353 ± 0.0966,0.6730,0.0670,0.9520,0.0000
SurvivalTree ,0.75,1.0,0.8139 ± 0.0044,0.1289 ± 0.0041,0.8846 ± 0.0054,0.3465 ± 0.0968,0.8228,0.1242,0.8885,0.1284
SurvivalTree ,0.75,0.75,0.7763 ± 0.0085,0.1788 ± 0.0077,0.9031 ± 0.0056,0.0003 ± 0.0004,0.7768,0.1788,0.9018,0.0000
SurvivalTree ,0.75,0.5,0.7356 ± 0.0078,0.1795 ± 0.0105,0.9406 ± 0.0027,0.0000 ± 0.0000,0.7451,0.1970,0.9393,0.0000
SurvivalTree ,0.75,0.25,0.6630 ± 0.0202,0.0682 ± 0.0036,0.9530 ± 0.0042,0.1211 ± 0.0879,0.6905,0.0675,0.9531,0.0000
SurvivalTree ,0.5,1.0,0.8222 ± 0.0035,0.1206 ± 0.0035,0.8948 ± 0.0060,0.0359 ± 0.0205,0.8235,0.1193,0.8934,0.0005
SurvivalTree ,0.5,0.75,0.7973 ± 0.0083,0.1561 ± 0.0065,0.9090 ± 0.0042,0.0001 ± 0.0001,0.7969,0.1582,0.9073,0.0000
SurvivalTree ,0.5,0.5,0.7657 ± 0.0091,0.1789 ± 0.0152,0.9439 ± 0.0024,0.0000 ± 0.0000,0.7633,0.1193,0.9420,0.0000
SurvivalTree ,0.5,0.25,0.6885 ± 0.0221,0.0717 ± 0.0041,0.9512 ± 0.0032,0.0600 ± 0.0746,0.6646,0.0711,0.9507,0.0000
SurvivalTree ,0.25,1.0,0.8372 ± 0.0022,0.1001 ± 0.0033,0.9135 ± 0.0050,0.0220 ± 0.0373,0.8395,0.0997,0.9115,0.0000
SurvivalTree ,0.25,0.75,0.8205 ± 0.0051,0.1237 ± 0.0053,0.9221 ± 0.0026,0.0007 ± 0.0012,0.8202,0.1232,0.9191,0.0000
SurvivalTree ,0.25,0.5,0.8009 ± 0.0067,0.1141 ± 0.0122,0.9512 ± 0.0027,0.0000 ± 0.0000,0.7989,0.1067,0.9523,0.0000
SurvivalTree ,0.25,0.25,0.7204 ± 0.0182,0.0795 ± 0.0042,0.9490 ± 0.0037,0.0735 ± 0.0951,0.7067,0.0777,0.9476,0.0000
RandomSurvivalForest $_{LogRank}$,1.0,1.0,0.8378 ± 0.0056,0.1339 ± 0.0053,0.8922 ± 0.0066,0.3308 ± 0.1000,0.8440,0.1309,0.8965,0.1922
RandomSurvivalForest $_{LogRank}$,1.0,0.75,0.7873 ± 0.0120,0.1949 ± 0.0072,0.9095 ± 0.0077,0.0000 ± 0.0000,0.7989,0.1812,0.9121,0.0000
RandomSurvivalForest $_{LogRank}$,1.0,0.5,0.7242 ± 0.0242,0.1840 ± 0.0108,0.9460 ± 0.0044,0.0000 ± 0.0000,0.7237,0.2054,0.9439,0.0000
RandomSurvivalForest $_{LogRank}$,1.0,0.25,0.6734 ± 0.0184,0.0805 ± 0.0080,0.9775 ± 0.0028,0.0000 ± 0.0000,0.6720,0.0758,0.9792,0.0000
RandomSurvivalForest $_{LogRank}$,0.75,1.0,0.8400 ± 0.0065,0.1320 ± 0.0045,0.8939 ± 0.0066,0.0663 ± 0.0267,0.8483,0.1274,0.8978,0.0049
RandomSurvivalForest $_{LogRank}$,0.75,0.75,0.7950 ± 0.0124,0.1837 ± 0.0084,0.9101 ± 0.0075,0.0000 ± 0.0000,0.8053,0.1821,0.9117,0.0000
RandomSurvivalForest $_{LogRank}$,0.75,0.5,0.7357 ± 0.0232,0.1854 ± 0.0109,0.9471 ± 0.0044,0.0000 ± 0.0000,0.7300,0.2068,0.9451,0.0000
RandomSurvivalForest $_{LogRank}$,0.75,0.25,0.6844 ± 0.0158,0.0808 ± 0.0079,0.9776 ± 0.0028,0.0000 ± 0.0000,0.6777,0.0762,0.9792,0.0000
RandomSurvivalForest $_{LogRank}$,0.5,1.0,0.8481 ± 0.0059,0.1244 ± 0.0046,0.9021 ± 0.0075,0.0045 ± 0.0050,0.8546,0.1213,0.9042,0.0000
RandomSurvivalForest $_{LogRank}$,0.5,0.75,0.8133 ± 0.0091,0.1617 ± 0.0080,0.9147 ± 0.0068,0.0000 ± 0.0000,0.8181,0.1624,0.9165,0.0000
RandomSurvivalForest $_{LogRank}$,0.5,0.5,0.7635 ± 0.0173,0.1846 ± 0.0156,0.9508 ± 0.0036,0.0000 ± 0.0000,0.7793,0.1231,0.9523,0.0000
RandomSurvivalForest $_{LogRank}$,0.5,0.25,0.7073 ± 0.0167,0.0838 ± 0.0082,0.9771 ± 0.0025,0.0000 ± 0.0000,0.6952,0.0772,0.9789,0.0000
RandomSurvivalForest $_{LogRank}$,0.25,1.0,0.8636 ± 0.0079,0.1024 ± 0.0042,0.9201 ± 0.0066,0.0008 ± 0.0013,0.8665,0.1023,0.9207,0.0000
RandomSurvivalForest $_{LogRank}$,0.25,0.75,0.8370 ± 0.0100,0.1275 ± 0.0066,0.9261 ± 0.0052,0.0000 ± 0.0000,0.8394,0.1273,0.9266,0.0000
RandomSurvivalForest $_{LogRank}$,0.25,0.5,0.7897 ± 0.0157,0.1159 ± 0.0127,0.9581 ± 0.0038,0.0000 ± 0.0000,0.7887,0.1096,0.9626,0.0000
RandomSurvivalForest $_{LogRank}$,0.25,0.25,0.7517 ± 0.0107,0.0849 ± 0.0055,0.9767 ± 0.0033,0.0000 ± 0.0000,0.7374,0.0830,0.9782,0.0000
